match,teaminnings,battingPos,BATTING,R,B,M,4s,6s,SR
South Africa Vs Sri Lanka,Sri Lanka,9,Kasun Rajitha,33,31,52,4,1,106.45
South Africa Vs Sri Lanka,Sri Lanka,10,Matheesha Pathirana,5,16,25,1,0,31.25
South Africa Vs Sri Lanka,Sri Lanka,11,Dilshan Madushanka,4,2,4,1,0,200.00
Afghanistan Vs Bangladesh,Afghanistan,1,Rahmanullah Gurbaz †,47,62,112,4,1,75.80
Afghanistan Vs Bangladesh,Afghanistan,2,Ibrahim Zadran,22,25,41,3,1,88.00
Afghanistan Vs Bangladesh,Afghanistan,3,Rahmat Shah,18,25,30,1,0,72.00
Afghanistan Vs Bangladesh,Afghanistan,4,Hashmatullah Shahidi (c),18,38,34,2,0,47.36
Afghanistan Vs Bangladesh,Afghanistan,5,Najibullah Zadran,5,13,16,0,0,38.46
Afghanistan Vs Bangladesh,Afghanistan,6,Mohammad Nabi,6,12,19,0,0,50.00
Afghanistan Vs Bangladesh,Afghanistan,7,Azmatullah Omarzai,22,20,32,4,0,110.00
Afghanistan Vs Bangladesh,Afghanistan,8,Rashid Khan,9,16,16,1,0,56.25
Afghanistan Vs Bangladesh,Afghanistan,9,Mujeeb Ur Rahman,1,4,9,0,0,25.00
Afghanistan Vs Bangladesh,Afghanistan,10,Naveen-ul-Haq,0,6,8,0,0,0.00
Afghanistan Vs Bangladesh,Afghanistan,11,Fazalhaq Farooqi,0,3,3,0,0,0.00
Afghanistan Vs Bangladesh,Bangladesh,1,Tanzid Hasan,5,13,19,1,0,38.46
Afghanistan Vs Bangladesh,Bangladesh,2,Litton Das,13,18,29,2,0,72.22
Afghanistan Vs Bangladesh,Bangladesh,3,Mehidy Hasan Miraz,57,73,89,5,0,78.08
Afghanistan Vs Bangladesh,Bangladesh,4,Najmul Hossain Shanto,59,83,112,3,1,71.08
Afghanistan Vs Bangladesh,Bangladesh,5,Shakib Al Hasan (c),14,19,24,2,0,73.68
Afghanistan Vs Bangladesh,Bangladesh,6,Mushfiqur Rahim †,2,3,6,0,0,66.66
Pakistan Vs Netherlands,Pakistan,1,Fakhar Zaman,12,15,14,3,0,80.00
Pakistan Vs Netherlands,Pakistan,2,Imam-ul-Haq,15,19,40,2,0,78.94
Pakistan Vs Netherlands,Pakistan,3,Babar Azam (c),5,18,20,0,0,27.77
Pakistan Vs Netherlands,Pakistan,4,Mohammad Rizwan †,68,75,104,8,0,90.66
Pakistan Vs Netherlands,Pakistan,5,Saud Shakeel,68,52,84,9,1,130.76
Pakistan Vs Netherlands,Pakistan,6,Iftikhar Ahmed,9,11,22,1,0,81.81
Pakistan Vs Netherlands,Pakistan,7,Mohammad Nawaz,39,43,66,4,0,90.69
Pakistan Vs Netherlands,Pakistan,8,Shadab Khan,32,34,42,2,1,94.11
Pakistan Vs Netherlands,Pakistan,9,Hasan Ali,0,1,2,0,0,0.00
Pakistan Vs Netherlands,Pakistan,10,Shaheen Shah Afridi,13,12,23,2,0,108.33
Pakistan Vs Netherlands,Pakistan,11,Haris Rauf,16,14,10,2,1,114.28
Pakistan Vs Netherlands,Netherlands,1,Vikramjit Singh,52,67,97,4,1,77.61
Pakistan Vs Netherlands,Netherlands,2,Max O'Dowd,5,12,24,1,0,41.66
Pakistan Vs Netherlands,Netherlands,3,Colin Ackermann,17,21,24,3,0,80.95
Pakistan Vs Netherlands,Netherlands,4,Bas de Leede,67,68,92,6,2,98.52
Pakistan Vs Netherlands,Netherlands,5,Teja Nidamanuru,5,9,10,1,0,55.55
Pakistan Vs Netherlands,Netherlands,6,Scott Edwards (c)†,0,2,2,0,0,0.00
Pakistan Vs Netherlands,Netherlands,7,Saqib Zulfiqar,10,18,24,1,0,55.55
Pakistan Vs Netherlands,Netherlands,8,Roelof van der Merwe,4,7,18,0,0,57.14
Pakistan Vs Netherlands,Netherlands,9,Logan van Beek,28,28,36,3,1,100.00
Pakistan Vs Netherlands,Netherlands,10,Aryan Dutt,1,2,6,0,0,50.00
Pakistan Vs Netherlands,Netherlands,11,Paul van Meekeren,7,12,17,1,0,58.33
England Vs New Zealand,England,1,Jonny Bairstow,33,35,57,4,1,94.28
England Vs New Zealand,England,2,Dawid Malan,14,24,36,2,0,58.33
England Vs New Zealand,England,3,Joe Root,77,86,140,4,1,89.53
England Vs New Zealand,England,4,Harry Brook,25,16,20,4,1,156.25
England Vs New Zealand,England,5,Moeen Ali,11,17,20,1,0,64.70
England Vs New Zealand,England,6,Jos Buttler (c)†,43,42,48,2,2,102.38
England Vs New Zealand,England,7,Liam Livingstone,20,22,23,3,0,90.90
England Vs New Zealand,England,8,Sam Curran,14,19,30,0,0,73.68
England Vs New Zealand,England,9,Chris Woakes,11,12,15,1,0,91.66
England Vs New Zealand,England,10,Adil Rashid,15,13,23,0,1,115.38
England Vs New Zealand,England,11,Mark Wood,13,14,19,0,0,92.85
England Vs New Zealand,New Zealand,1,Devon Conway,152,121,147,19,3,125.61
England Vs New Zealand,New Zealand,2,Will Young,0,1,5,0,0,0.00
England Vs New Zealand,New Zealand,3,Rachin Ravindra,123,96,141,11,5,128.12
